Participant_ID,friends_in_degree,friends_out_degree,friends_closeness,friends_betweenness,advice_in_degree,advice_out_degree,advice_closeness,advice_betweenness,disrespect_in_degree,disrespect_out_degree,disrespect_closeness,disrespect_betweenness,moretime_in_degree,moretime_out_degree,moretime_closeness,moretime_betweenness,influential_in_degree,influential_out_degree,influential_closeness,influential_betweenness,feedback_in_degree,feedback_out_degree,feedback_closeness,feedback_betweenness,academic_score,mental_score,social_score
32418,0.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.028369984891724025,0.0,0.0,0.0,0.0,0.0,89.55113575503188,84.57536664962493,76.28635761354214
32419,0.0,4.0,0.0,0.0,3.0,3.0,0.05715416584207401,6.633151794442117e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.044168391994478945,6.469979296066252e-05,0.0,0.0,0.0,0.0,91.74948059993883,82.21859075158613,77.15892488714863
32420,7.0,3.0,0.047725577926920205,4.534736078360239e-05,4.0,0.0,0.07124034529759199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,95.66815444354576,86.38088897767928,82.5622175326326
32421,13.0,0.0,0.09236177692553532,0.0,1.0,0.0,0.011612903225806452,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,91.38925670685691,73.46000772418726,72.28636672563937
32422,3.0,2.0,0.028635346756152123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.10132866992301352,0.0013101708074534162,0.0,0.0,0.0,0.0,82.60925152961455,85.52179433893183,72.54950459644422
32423,0.0,0.0,0.0,0.0,3.0,1.0,0.03732458538363404,0.001508169250104734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.034400382226469184,0.018814699792960663,0.0,0.0,0.0,0.0,87.93473099409312,73.69935289499895,73.6767079561775
32424,0.0,1.0,0.0,0.0,1.0,1.0,0.0064516129032258064,2.0946795140343527e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.1003543557891384,9.70496894409938e-06,0.0,0.0,0.0,0.0,85.75863355660408,75.8339716412838,70.72325295489082
32425,1.0,8.0,0.006711409395973154,0.00018138944313440957,6.0,8.0,0.03951612903225806,0.000251062301753546,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.2094677688008842,6.4699792960662525e-06,0.0,0.0,0.0,0.0,85.25351182313024,81.0699549357649,77.21756479575998
32426,2.0,2.0,0.013422818791946308,4.534736078360239e-05,2.0,0.0,0.03501438739966682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,94.68819324483398,87.60803224449575,81.14480530332263
32427,2.0,5.0,0.028611797951253973,6.046314771146985e-05,1.0,2.0,0.04155001014404545,0.009300377042312527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.02684117125110914,0.0,0.0,0.0,0.0,0.0,94.29575474045885,84.90905117221698,81.40438419483331
32428,4.0,3.0,0.026845637583892613,0.0,1.0,0.0,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,92.49161713905933,87.7795659403692,83.05448786794749
32429,3.0,7.0,0.03691275167785235,0.0006348630509704335,1.0,2.0,0.03968492123030757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.008281573498964802,0.0,0.0,0.0,0.0,0.0,94.35379377496136,86.37781931212535,88.46495476950294
32430,1.0,2.0,0.006711409395973154,0.0,2.0,4.0,0.03690755091007389,0.0014243820695433599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.03888738860383473,0.0012616459627329193,0.0,0.0,0.0,0.0,84.5444502474183,85.20596685509877,76.12256267293692
32431,2.0,4.0,0.0436241610738255,0.00038545256666062033,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.05957829355998693,0.0,0.0,0.0,0.0,0.0,88.89336436631137,81.64407606052762,75.41386757457559
32432,11.0,1.0,0.0738255033557047,0.0009371787895277829,2.0,0.0,0.048896434634974534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,90.5291217562779,76.74088025391967,78.95089249318218
32433,0.0,3.0,0.0,0.0,8.0,4.0,0.06888045540796964,0.004880603267700042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.01725327812284334,0.0,0.0,0.0,0.0,0.0,92.85293764943907,85.1391520759815,83.11895879082658
32434,0.0,1.0,0.0,0.0,2.0,4.0,0.012903225806451613,0.0002304147465437788,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,90.30524287960246,70.91241624665673,76.38379772059473
32435,0.0,1.0,0.0,0.0,9.0,11.0,0.07057673509286412,0.02172880882558302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.05286110744020087,0.0,0.0,0.0,0.0,0.0,89.21926924507814,75.22823930422173,74.03528744242243
