Participant_ID,friends_in_degree,friends_out_degree,friends_closeness,friends_betweenness,advice_in_degree,advice_out_degree,advice_closeness,advice_betweenness,disrespect_in_degree,disrespect_out_degree,disrespect_closeness,disrespect_betweenness,moretime_in_degree,moretime_out_degree,moretime_closeness,moretime_betweenness,influential_in_degree,influential_out_degree,influential_closeness,influential_betweenness,feedback_in_degree,feedback_out_degree,feedback_closeness,feedback_betweenness,academic_score,mental_score,social_score
32392,1.0,2.0,0.006802721088435374,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04713429089387812,0.0,0.0,0.0,0.0,0.0,88.73266855737103,92.46313132992927,84.499405548051
32393,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,14.0,8.0,0.09915816739517566,0.010841105087434126,0.0,0.0,0.0,0.0,69.92114409464702,72.44596378427022,68.22370697540502
32394,3.0,3.0,0.02040816326530612,0.00011648495014444135,3.0,0.0,0.048786678850644735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.12571269376527,89.94577572160713,89.3042393382174
32395,11.0,1.0,0.08055853920515575,2.329699002888827e-05,5.0,2.0,0.04897959183673469,0.00017395085888236575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.07634301383522372,0.0007566676655678754,0.0,0.0,0.0,0.0,85.69428883800437,76.59798996046884,75.94288231004766
32397,0.0,2.0,0.0,0.0,1.0,1.0,0.022263450834879402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0406885758998435,0.0,0.0,0.0,0.0,0.0,89.8225174844718,89.35204422553241,84.14737666054378
32398,14.0,1.0,0.09566326530612246,0.0001630789302022179,2.0,0.0,0.03284742468415938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,91.11619294210972,78.75111150382055,81.24651642591424
32399,1.0,0.0,0.029577048210588586,0.0,1.0,2.0,0.030921459492888066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.02592829705505762,1.664835347784104e-05,0.0,1.0,0.0,0.0,86.51417040840721,71.3953179144566,76.28968818301755
32400,11.0,1.0,0.07482993197278912,0.00014366477184481096,6.0,2.0,0.0862316757688991,0.0019841269841269845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,91.35483452864825,74.92488892965166,84.92980619225715
32401,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.06338028169014084,0.0011570605667099525,0.0,0.0,0.0,0.0,78.34120059295047,72.30390663270305,73.03589356408654
32402,0.0,1.0,0.0,0.0,5.0,10.0,0.037037037037037035,0.0022504892367906063,0.0,0.0,0.0,0.0,1.0,0.0,0.07142857142857142,0.0,5.0,3.0,0.041697553743513714,0.001912776897793379,1.0,0.0,0.07692307692307693,0.0,81.06272562070774,73.50138171007184,77.15661529482078
32403,5.0,2.0,0.03580379520229145,0.0002795638803466592,1.0,0.0,0.031206133246949572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,89.43555721055549,85.32071636604817,86.73851277058903
